stage,match_date,hometeam,awayteam,home_prob,draw_prob,away_prob,scrape_datetime,url,league_code
September,9/24,Portland,Orlando City,0.53,0.25,0.22,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
September,9/27,Atlanta,Philadelphia,0.51,0.25,0.24,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
September,9/27,NY Red Bulls,D.C. United,0.54,0.25,0.21,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
September,9/27,Montreal,NYCFC,0.45,0.25,0.3,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
September,9/27,Orlando City,New England,0.41,0.26,0.32,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
September,9/27,FC Dallas,Colorado,0.54,0.27,0.19,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
September,9/27,Houston,LA Galaxy,0.48,0.26,0.26,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
September,9/27,San Jose,Chicago,0.42,0.28,0.3,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
September,9/27,Seattle,Vancouver,0.52,0.26,0.22,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
September,9/30,Orlando City,FC Dallas,0.4,0.28,0.32,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
September,9/30,Toronto FC,NY Red Bulls,0.54,0.25,0.21,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
